id,corr,file,en,de,tr,es,hu
10,10,translator,Felix and Boris,Felix und Boris,Miles ve Ali,?,Gábriel
20,20,translator,boris.baumann@gmail.com,boris.baumann@gmail.com,?,?,?
100,100,global,Corona,Corona,Corona,Corona,Corona
200,200,global,COVID,COVID,COVID,COVID,COVID
300,300,global,SARS,SARS,SARS,SARS,SARS
400,400,global,CoV,CoV,CoV,CoV,CoV
500,100,bunny,Bunny,Häschen,Tavşan,Conejito,Nyuszi
600,200,bunny,RABBIT,HASE,TAVŞAN,CONEJITO,NYUSZI
700,300,bunny,BNY,HAS,TAVŞA,CONEJ,NYSZ
800,400,bunny,HoP,HopP,ATLAMA,SALTAR,HoPP
900,100,cat,Kitten,Kätzchen,kedi yavrusu,Gatitos,Cica
1000,200,cat,CAT,KATZE,KEDI,GATO,CICA
1100,300,cat,CAT,KATZ,KED,GAT,CICC
1200,400,cat,PurR,SchnurR,MırlamaK,RonroneO,MuRR
1300,100,chuck,Chuck Norris,Chuck Norris,Chuck Norris,Chuck Norris,Chuck Norris
1400,200,chuck,CHUCK,CHUCK,CHUCK,CHUCK,CHUCK
1500,300,chuck,NORRIS,NORRIS,NORRIS,NORRIS,NORRIS
1600,400,chuck,NorriS,NorriS,NorriS,NorriS,NorriS
1700,100,dog,Poppy,Hündchen,Yavru Köpek,Cachorro,Kutyus
1800,200,dog,DOG,HUND,KÖPEK,PERRO,KUTYUS
1900,300,dog,PUP,HUND,KÖPEK,PERRO,KUTYUS
2000,400,dog,WooF,WufF,Atkı,LadridoS,VaU
2100,100,elephant,Elephant,Elefant,Fil,?,Elefánt
2200,200,elephant,PHANT,FANT,FIL,?,FÁNI
2300,300,elephant,TRUMPET,TARÖÖ,GÜRÜLTÜ,?,TRAA
2400,400,elephant,TrunK,RüsseL,GövdE,?,OrM
2500,100,unicorn,Unicorn,Einhorn,tek boynuzlu at,?,Egyszarvú
2600,200,unicorn,HORN,HORN,BOYNUZ,?,SZARV
2700,300,unicorn,GLITTER,GLITZER,parıltı,?,CSILLÁM
2800,400,unicorn,HorN,HorN,BoynuZ,?,SzarV
